time,mag
2452812.46472222,-0.03760877756297876
2452812.46820602,-0.019141077839780474
2452812.47170139,-0.043424562031064484
2452812.50042824,0.023807729794935284
2452812.50391204,0.004041777527546975
2452812.50739583,0.0306915657246547
2452812.51087963,0.025361216225491923
2452812.51436343,0.05682253582588559
2452812.53105324,0.06692496207178023
2452812.53453704,0.037199847018700494
2452812.53802083,0.0587797587092711
2452812.5415162,0.060885828975108414
2452812.545,0.08220028182582428
2452812.5484838,0.06503606599696843
2452812.55196759,0.06501962423210372
2452812.55545139,0.09483715933168035
2452812.55893518,0.11374788595917762
2452812.56241898,0.05156020873304756
